1.000,0.000,0.000,159.997
2.000,0.000,0.000,312.864
3.000,0.000,0.000,229.708
4.000,0.002,0.082,177.598
5.000,0.000,0.000,191.014
6.000,0.002,0.082,117.639
7.000,0.000,0.000,266.277
8.000,0.000,0.000,226.841
9.000,0.000,0.000,193.526
10.000,0.012,0.408,129.207
11.000,0.000,0.000,291.558
12.000,0.000,0.000,276.560
13.000,0.000,0.000,195.600
14.000,0.000,0.000,140.994
15.000,0.000,0.000,227.135
16.000,0.000,0.000,326.987
17.000,0.000,0.000,246.945
18.000,0.000,0.000,435.134
19.000,0.000,0.000,195.154
20.000,0.001,0.082,132.948
21.000,0.000,0.000,227.871
22.000,0.000,0.000,216.948
23.000,0.004,0.163,132.232
24.000,0.000,0.000,207.292
25.000,0.001,0.082,139.199
26.000,0.000,0.000,363.269
27.000,0.000,0.000,217.127
28.000,0.000,0.000,253.816
29.000,0.000,0.000,236.209
30.000,0.000,0.000,228.246
31.000,0.000,0.000,220.958
32.000,0.000,0.000,273.688
33.000,0.000,0.000,164.017
34.000,0.001,0.082,154.001
35.000,0.000,0.000,176.184
36.000,0.000,0.000,133.121
37.000,0.001,0.082,190.204
38.000,0.000,0.000,326.456
39.000,0.004,0.082,126.207
40.000,0.000,0.000,153.790
41.000,0.000,0.000,180.533
42.000,0.000,0.000,148.501
43.000,0.004,0.163,141.314
44.000,0.000,0.000,317.842
45.000,0.000,0.000,208.985
46.000,0.000,0.000,304.793
47.000,0.004,0.082,169.827
48.000,0.000,0.000,188.177
49.000,0.007,0.163,143.225
50.000,0.002,0.163,158.952
51.000,0.001,0.082,137.302
52.000,0.003,0.082,137.713
53.000,0.000,0.000,208.549
54.000,0.000,0.000,252.214
55.000,0.000,0.000,177.932
56.000,0.000,0.000,326.740
57.000,0.000,0.000,197.444
58.000,0.002,0.163,161.833
59.000,0.000,0.000,256.691
60.000,0.000,0.000,439.055
61.000,0.000,0.000,169.471
62.000,0.000,0.000,196.475
63.000,0.000,0.000,344.280
64.000,0.000,0.000,309.703
65.000,0.000,0.000,182.762
66.000,0.000,0.000,211.714
67.000,0.000,0.000,207.827
68.000,0.001,0.082,141.449
69.000,0.000,0.000,387.266
70.000,0.000,0.000,162.451
71.000,0.000,0.000,247.284
72.000,0.000,0.000,321.441
73.000,0.000,0.000,312.993
74.000,0.000,0.000,310.235
75.000,0.000,0.000,198.349
76.000,0.000,0.000,226.226
77.000,0.001,0.082,150.949
78.000,0.001,0.082,159.999
79.000,0.000,0.000,179.425
80.000,0.000,0.000,205.350
81.000,0.005,0.082,151.449
82.000,0.000,0.000,265.060
83.000,0.000,0.000,212.910
84.000,0.003,0.082,203.387
85.000,0.000,0.000,85.071
86.000,0.002,0.082,151.568
87.000,0.002,0.163,167.415
88.000,0.000,0.000,193.466
89.000,0.000,0.000,222.409
90.000,0.005,0.163,111.823
91.000,0.000,0.000,341.093
92.000,0.000,0.000,256.404
93.000,0.000,0.000,202.550
94.000,0.001,0.082,128.613
95.000,0.000,0.000,219.483
96.000,0.000,0.000,180.901
97.000,0.000,0.000,164.811
98.000,0.000,0.000,125.360
99.000,0.000,0.000,455.935
100.000,0.001,0.082,160.566
